tt0103776;Batman Returns (1992)
tt4116284;The Lego Batman Movie (2017)
tt2313197;Batman: The Dark Knight Returns, Part 1 (2012)
tt2975590;Batman v Superman: Dawn of Justice (2016)
tt4154796;Avengers: Endgame (2019)
tt1282022;Batman: Arkham Asylum (2009)
tt0112462;Batman Forever (1995)
tt1569923;Batman: Under the Red Hood (2010)
tt3949660;Teenage Mutant Ninja Turtles: Out of the Shadows (2016)
